,query,value
0,ai artificial intelligence,100
1,ai,98
2,what is artificial intelligence,77
3,artificial intelligence course,48
4,machine learning,45
5,artificial intelligence meaning,36
6,data science,29
7,artificial intelligence and machine learning,29
8,artificial intelligence engineering,28
9,artificial intelligence pdf,26
10,what is ai,22
11,data science and artificial intelligence,22
12,artificial intelligence technology,21
13,artificial intelligence courses,16
14,about artificial intelligence,15
15,artificial intelligence ppt,15
16,artificial intelligence applications,14
17,artificial intelligence in hindi,13
18,artificial intelligence examples,13
19,artificial intelligence future,11
20,artificial intelligence book,11
21,artificial intelligence syllabus,11
22,applications of artificial intelligence,11
23,types of artificial intelligence,11
24,artificial intelligence jobs,11
